text;claimant;claimDate;claimReview_0_publisher_name;claimReview_0_publisher_site;claimReview_0_url;claimReview_0_title;claimReview_0_reviewDate;claimReview_0_textualRating;claimReview_0_languageCode;claimReview_1_publisher_name;claimReview_1_publisher_site;claimReview_1_url;claimReview_1_title;claimReview_1_reviewDate;claimReview_1_textualRating;claimReview_1_languageCode;claimReview_2_publisher_name;claimReview_2_publisher_site;claimReview_2_url;claimReview_2_title;claimReview_2_reviewDate;claimReview_2_textualRating;claimReview_2_languageCode;claimReview_3_publisher_name;claimReview_3_publisher_site;claimReview_3_url;claimReview_3_title;claimReview_3_reviewDate;claimReview_3_textualRating;claimReview_3_languageCode
[SALAH] Foto “Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari”;;;Cekfakta;cekfakta.com;https://cekfakta.com/focus/3756;[SALAH] Foto “Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari”;2020-03-25T00:00:00Z;2 [Misleading Content];id;;;;;;;;;;;;;;;;;;;;;
Mother holding a child is infected from coronavirus;Sadhvi Deva Thakur;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/photo-from-1985-where-mother-in-protective-gear-holds-her-baby-given-coronavirus-spin/;Photo from 1985 where mother in protective gear holds her baby given coronavirus spin;2020-03-25T00:00:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
El colaborador que asegura que el coronavirus fue fabricado en Wuhan;;;Newtral;newtral.es;https://www.newtral.es/el-coronavirus-de-wuhan-epidemia-mundial-de-bulos-ix/20200325/;El coronavirus de Wuhan: epidemia mundial de bulos (IX) | Newtral;2020-03-25T00:00:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
CLAIM: Botswana’s President Masisi tested positive for coronavirus;News NT;2020-03-25T00:00:00Z;ZimFact;zimfact.org;https://zimfact.org/no-botswanas-president-masisi-has-not-tested-positive-for-coronavirus/;No. Botswana's President Masisi has not tested positive for coronavirus;2020-03-25T00:00:00Z;False. Botswana President Masisi has not been tested for coronavirus;en;;;;;;;;;;;;;;;;;;;;;
Grade 12 Zoology book by Dr Ramesh Gupta mentionsa cure for coronavirus;Social Media;2016-06-20T00:00:00Z;Alt News;altnews.in;https://www.altnews.in/no-dr-ramesh-guptas-zoology-book-does-not-mention-a-cure-for-novel-coronavirus/;No, Dr Ramesh Gupta's zoology book DOES NOT mention a cure for novel coronavirus;2020-03-25T00:00:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
En Italia colapsa el sistema de salud por el nuevo coronavirus COVID-199;Varias fuentes;2020-03-15T00:00:00Z;AFP Factual;factual.afp.com;https://factual.afp.com/la-imagen-es-del-entierro-de-una-legisladora-irani-contagiada-con-el-coronavirus;La imagen es del entierro de una legisladora iraní contagiada con el coronavirus;2020-03-24T21:25:00Z;Engañoso;es;;;;;;;;;;;;;;;;;;;;;
El coronavirus SARS-CoV-2 es viable por horas o días en superficies;;;ColombiaCheck;colombiacheck.com;https://colombiacheck.com/chequeos/sars-cov-2-si-dura-horas-o-dias-en-algunas-superficies-falta-estudiar-otras;SARS-CoV-2 sí dura horas o días en algunas superficies, falta estudiar otras;2020-03-24T19:07:55Z;Verdadero pero...;es;;;;;;;;;;;;;;;;;;;;;
Respirar aire caliente puede matar al nuevo coronavirus COVID-19;Varias fuentes;2020-03-24T00:00:00Z;AFP Factual;factual.afp.com;https://factual.afp.com/el-aire-caliente-de-saunas-o-secadores-de-pelo-no-cura-el-nuevo-coronavirus;El aire caliente de saunas o secadores de pelo no cura el nuevo coronavirus;2020-03-24T19:10:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
Vacunas contra coronavirus en animales prueban que COVID-19 no es una enfermedad nueva;Varias fuentes;2020-02-28T00:00:00Z;AFP Factual;factual.afp.com;https://factual.afp.com/los-coronavirus-que-ya-afectaban-los-animales-son-distintos-al-del-covid-19-en-humanos;Los coronavirus que ya afectaban a los animales son distintos al del COVID-19 en humanos;2020-03-24T19:48:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
Radiografías de pulmón de un paciente de 28 años con Coronavirus;Varias fuentes;2020-03-16T00:00:00Z;AFP Factual;factual.afp.com;https://factual.afp.com/medicos-aseguran-que-las-imagenes-si-pueden-mostrar-una-neumonia-causada-por-el-nuevo-coronavirus;Médicos aseguran que las imágenes sí pueden mostrar una neumonía causada por el nuevo coronavirus;2020-03-24T18:23:00Z;Verdadero;es;;;;;;;;;;;;;;;;;;;;;
